
 Calculating Transition Dipole Moments

    A(vi)   A(vj)      |<vi|μ|vj>|^2
    26      20     0.00000000
    26      21     0.00217109
    26      22     0.00000000
    26      23     0.00814369
    26      24     0.00000000
    26      25    23.16148189
    26      26     0.00000000
    26      27    23.14387595
    26      28     0.00000000
    26      29     0.02038726
    26      30     0.00000000
 ------------------------------
    27       0     0.00090112
    27       1     0.00000000
    27       2     0.00047527
    27       3     0.00000000
    27       4     0.00030374
    27       5     0.00000000
    27       6     0.00014818
    27       7     0.00000000
    27       8     0.00002777
    27       9     0.00000000
    27      10     0.00001203
    27      11     0.00000000
    27      12     0.00018754
    27      13     0.00000000
    27      14     0.00059435
    27      15     0.00000000
    27      16     0.00116460
    27      17     0.00000000
    27      18     0.00188029
    27      19     0.00000000
    27      20     0.00310809
    27      21     0.00000000
    27      22     0.00620494
    27      23     0.00000000
    27      24     0.02229361
    27      25     0.00000000
    27      26    23.14387595
    27      27     0.00000000
    27      28    25.03229288
    27      29     0.00000000
    27      30     0.01664731
 ------------------------------
    28       0     0.00000000
    28       1     0.00000001
    28       2     0.00000000
    28       3     0.00001005
    28       4     0.00000000
    28       5     0.00005154
    28       6     0.00000000
    28       7     0.00012090
    28       8     0.00000000
    28       9     0.00016795
    28      10     0.00000000
    28      11     0.00011716
    28      12     0.00000000
    28      13     0.00000862
    28      14     0.00000000
    28      15     0.00003500
    28      16     0.00000000
    28      17     0.00000650
    28      18     0.00000000
    28      19     0.00019148
    28      20     0.00000000
    28      21     0.00112818
    28      22     0.00000000
    28      23     0.00274437
    28      24     0.00000000
    28      25     0.01140634
    28      26     0.00000000
    28      27    25.03229288
    28      28     0.00000000
    28      29    25.67387345
    28      30     0.00000000
 ------------------------------
    29       0     0.00034060
    29       1     0.00000000
    29       2     0.00020894
    29       3     0.00000000
    29       4     0.00015361
    29       5     0.00000000
    29       6     0.00008923
    29       7     0.00000000
    29       8     0.00002566
    29       9     0.00000000
    29      10     0.00000091
    29      11     0.00000000
    29      12     0.00007106
    29      13     0.00000000
    29      14     0.00027444
    29      15     0.00000000
    29      16     0.00058361
    29      17     0.00000000
    29      18     0.00094298
    29      19     0.00000000
    29      20     0.00147722
    29      21     0.00000000
    29      22     0.00248393
    29      23     0.00000000
    29      24     0.00459170
    29      25     0.00000000
    29      26     0.02038726
    29      27     0.00000000
    29      28    25.67387345
    29      29     0.00000000
    29      30    27.38003367
 ------------------------------
    30       0     0.00000000
    30       1     0.00000005
    30       2     0.00000000
    30       3     0.00000431
    30       4     0.00000000
    30       5     0.00002976
    30       6     0.00000000
    30       7     0.00008350
    30       8     0.00000000
    30       9     0.00014143
    30      10     0.00000000
    30      11     0.00014128
    30      12     0.00000000
    30      13     0.00005373
    30      14     0.00000000
    30      15     0.00000063
    30      16     0.00000000
    30      17     0.00000335
    30      18     0.00000000
    30      19     0.00017357
    30      20     0.00000000
    30      21     0.00069785
    30      22     0.00000000
    30      23     0.00172912
    30      24     0.00000000
    30      25     0.00274648
    30      26     0.00000000
    30      27     0.01664731
    30      28     0.00000000
    30      29    27.38003367
    30      30     0.00000000
 ------------------------------
